volumeId	imgSeq	imgUrl
V1GS66030_I1GS66239	95	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390095.tif/full/max/0/default.png
V1GS66030_I1GS66239	96	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390096.tif/full/max/0/default.png
V1GS66030_I1GS66239	97	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390097.tif/full/max/0/default.png
V1GS66030_I1GS66239	98	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390098.tif/full/max/0/default.png
V1GS66030_I1GS66239	99	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390099.tif/full/max/0/default.png
V1GS66030_I1GS66239	100	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390100.tif/full/max/0/default.png
V1GS66030_I1GS66239	101	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390101.tif/full/max/0/default.png
V1GS66030_I1GS66239	102	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390102.tif/full/max/0/default.png
V1GS66030_I1GS66239	103	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390103.tif/full/max/0/default.png
V1GS66030_I1GS66239	104	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390104.tif/full/max/0/default.png
V1GS66030_I1GS66239	105	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390105.tif/full/max/0/default.png
V1GS66030_I1GS66239	106	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390106.tif/full/max/0/default.png
V1GS66030_I1GS66239	107	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390107.tif/full/max/0/default.png
V1GS66030_I1GS66239	108	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390108.tif/full/max/0/default.png
V1GS66030_I1GS66239	109	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390109.tif/full/max/0/default.png
V1GS66030_I1GS66239	110	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390110.tif/full/max/0/default.png
V1GS66030_I1GS66239	111	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390111.tif/full/max/0/default.png
V1GS66030_I1GS66239	112	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390112.tif/full/max/0/default.png
V1GS66030_I1GS66239	113	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390113.tif/full/max/0/default.png
V1GS66030_I1GS66239	114	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390114.tif/full/max/0/default.png
V1GS66030_I1GS66239	115	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390115.tif/full/max/0/default.png
V1GS66030_I1GS66239	116	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390116.tif/full/max/0/default.png
V1GS66030_I1GS66239	117	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390117.tif/full/max/0/default.png
V1GS66030_I1GS66239	118	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390118.tif/full/max/0/default.png
V1GS66030_I1GS66239	119	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390119.tif/full/max/0/default.png
V1GS66030_I1GS66239	120	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390120.tif/full/max/0/default.png
V1GS66030_I1GS66239	121	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390121.tif/full/max/0/default.png
